Data_Zone,Intermediate_Zone,Council_area,Total_population,Working_age_population,SIMD2020v2_Rank,SIMD2020v2_Income_Domain_Rank,SIMD2020_Employment_Domain_Rank,SIMD2020_Health_Domain_Rank,SIMD2020_Education_Domain_Rank,SIMD2020_Access_Domain_Rank,SIMD2020_Crime_Domain_Rank,SIMD2020_Housing_Domain_Rank,quintile,decile,vigintile,percentile,CP,DZ_Name,LARank,Number of small areas in CP,Number of small areas in LA,LAQuintile,Number in LA Quintile,children 00-17,all ages,NameC
S01010644,Inverness Merkinch,Highland,672,453,8,14,21,12,154,3441,81,1386,1,1,1,1,Inverness,Inverness Merkinch North,1,103,312,1,63,161,678,Inverness Merkinch North
S01010643,Inverness Merkinch,Highland,741,462,174,123,401,639,100,1275,241,1975,1,1,1,3,Inverness,Inverness South Kessock,2,103,312,1,63,237,720,Inverness South Kessock
S01007366,Dunoon,Argyll and Bute,451,241,189,261,49,223,929,6286,304,705,1,1,1,3,Bute & Cowal,-,1,32,125,1,25,80,444,Dunoon
S01010778,Wick South,Highland,476,323,215,417,178.5,240,148,4202,446,1700,1,1,1,4,Caithness,Wick Pultneytown South,3,38,312,1,63,113,486,Wick Pultneytown South
S01010740,Invergordon,Highland,487,311,216,176,126,128,1610,2871,1190,3822,1,1,1,4,East Ross,Invergordon Strath Avenue,4,30,312,1,63,110,493,Invergordon Strath Avenue
S01010641,Inverness Merkinch,Highland,1015,723,240,383,261,245,225,5935,169,835,1,1,1,4,Inverness,Inverness Merkinch East,5,103,312,1,63,181,994,Inverness Merkinch East
S01007399,Helensburgh East,Argyll and Bute,618,393,294,516,196,256,488,3443,804,1775,1,1,1,5,Helensburgh & Lomond,-,2,37,125,1,25,144,612,Helensburgh East
S01010642,Inverness Merkinch,Highland,1023,637,436,314,558,738,459,5928,437,1198,1,1,2,7,Inverness,Inverness Merkinch South,6,103,312,1,63,291,1024,Inverness Merkinch South
S01010620,"Inverness Central, Raigmore and Longman",Highland,674,569,458,668,273,336,2739,5497,2,98,1,1,2,7,Inverness,Inverness Central & Longman,7,103,312,1,63,73,646,Inverness Central & Longman
S01010608,Inverness Drummond,Highland,699,436,535,434,646,1241,445,3317,434,2513,1,1,2,8,Inverness,Inverness Hilton West,8,103,312,1,63,194,680,Inverness Hilton West
S01007346,Rothesay Town,Argyll and Bute,548,326,558,787,285,1382,718,6516,157,1389,1,1,2,8,Bute & Cowal,-,3,32,125,1,25,53,535,Rothesay Town
S01010564,Nairn West,Highland,479,291,575,848,154,1233,1524,4004,822,2696,1,1,2,9,Nairn & Nairnshire,Nairn Moss-side,9,18,312,1,63,71,489,Nairn Moss-side
S01007345,Rothesay Town,Argyll and Bute,523,310,597,340,413,761,1613,5110,3498,2267,1,1,2,9,Bute & Cowal,-,4,32,125,1,25,119,514,Rothesay Town
S01007295,Oban South,Argyll and Bute,477,293,609,559,656,170,1498,6952,1062,1323,1,1,2,9,"Oban, Lorn & the Isles",-,5,27,125,1,25,59,471,Oban South
S01010735,Alness,Highland,627,385,628,697,890,1485,105,3031,823,3834,1,1,2,10,East Ross,Alness Obsdale,10,30,312,1,63,214,648,Alness Obsdale
S01010784,Wick North,Highland,704,418,659,619,911,645,393,4929,1165,1492,1,1,2,10,Caithness,Wick Hillhead North,11,38,312,1,63,202,716,Wick Hillhead North
S01010637,Inverness Muirtown,Highland,510,369,682,659,519,853,1057,6190,1014,425,1,1,2,10,Inverness,Inverness Central North West,12,103,312,1,63,48,524,Inverness Central North West
S01010751,Seaboard,Highland,670,388,689,821,748,1869,428,441,3910,2185,1,1,2,10,East Ross,Seaboard South,13,30,312,1,63,152,680,Seaboard South
S01007368,Dunoon,Argyll and Bute,561,329,695,467.5,442,702,2095,5819,2495,2432,1,1,2,10,Bute & Cowal,-,6,32,125,1,25,182,569,Dunoon
S01010614,Inverness Hilton,Highland,603,385,714,1005,1017,1005,235,2027,756,1683,1,2,3,11,Inverness,Inverness Hilton South,14,103,312,1,63,136,615,Inverness Hilton South
S01007334,Campbeltown,Argyll and Bute,651,350,719,481,486,889,1611,6232,2566,1693,1,2,3,11,"Mid-Argyll, Kintyre & Islay",-,7,29,125,1,25,129,618,Campbeltown
S01007336,Campbeltown,Argyll and Bute,519,321,734,889,474,1044,1521,6661,52,1354.5,1,2,3,11,"Mid-Argyll, Kintyre & Islay",-,8,29,125,1,25,77,537,Campbeltown
S01010733,Alness,Highland,512,308,776,572,1389,991,382,4542,656,1629,1,2,3,12,East Ross,Alness Kirkside,15,30,312,1,63,150,506,Alness Kirkside
S01010633,Inverness Ballifeary and Dalneigh,Highland,1025,624,791,751,663,1439,1533,1241,1412,1138,1,2,3,12,Inverness,Inverness Dalneigh South West,16,103,312,1,63,261,1030,Inverness Dalneigh South West
S01010734,Alness,Highland,932,558,905,990,1365,1481,295,2671,848,2562,1,2,3,13,East Ross,Alness Teaninich,17,30,312,1,63,255,931,Alness Teaninich
S01010777,Wick South,Highland,527,301,912,1270,730,1156,524,6073,650,3800,1,2,3,14,Caithness,Wick South Head,18,38,312,1,63,97,521,Wick South Head
S01010523,Fort William South,Highland,578,352,941,1077,1678.5,1617,247,1299,1200,2784,1,2,3,14,Lochaber,Fort William North,19,27,312,1,63,172,592,Fort William North
S01010639,Inverness Muirtown,Highland,1130,771,972,1464,788,1209,660,6480,327,933,1,2,3,14,Inverness,Inverness Merkinch Telford,20,103,312,1,63,214,1129,Inverness Merkinch Telford
S01010732,Alness,Highland,768,477,999,908,1360,1120,987,1920,1296,1469,1,2,3,15,East Ross,Alness Firhill,21,30,312,1,63,176,761,Alness Firhill
S01010779,Wick South,Highland,706,436,1004,919,1116,1743,692,4468,423,3520,1,2,3,15,Caithness,Wick South,22,38,312,1,63,163,705,Wick South
S01007347,Rothesay Town,Argyll and Bute,551,309,1005,923,561,1494,1627,5350,1972,2921,1,2,3,15,Bute & Cowal,-,9,32,125,1,25,87,602,Rothesay Town
S01007364,Hunter's Quay,Argyll and Bute,800,492,1015,624.5,1024,1105,1237,5898,3950,1425,1,2,3,15,Bute & Cowal,-,10,32,125,1,25,197,801,Hunter's Quay
S01007350,Rothesay Town,Argyll and Bute,553,309,1039,583.5,913,1902,1826,6204,891,1955,1,2,3,15,Bute & Cowal,-,11,32,125,1,25,66,543,Rothesay Town
S01010622,"Inverness Central, Raigmore and Longman",Highland,653,411,1096,1002,1048,1378,1646,1578,2772,1314,1,2,4,16,Inverness,Inverness Raigmore North,23,103,312,1,63,162,646,Inverness Raigmore North
S01010743,Invergordon,Highland,702,442,1099,736,1569,2171,739,3557,743,2165,1,2,4,16,East Ross,Invergordon Castle Avenue,24,30,312,1,63,210,705,Invergordon Castle Avenue
S01010522,Fort William South,Highland,578,381,1129,1434,1391,627,2519,2862,45,1152,1,2,4,17,Lochaber,Fort William Central,25,27,312,1,63,97,582,Fort William Central
S01010714,Dingwall,Highland,721,439,1132,1136.5,1189,1306,1636,2505,403,2648,1,2,4,17,Mid Ross,Dingwall Central,26,33,312,1,63,111,670,Dingwall Central
S01007398,Helensburgh East,Argyll and Bute,638,421,1192,1071,1269,951,1254,2704,3547,2462,1,2,4,18,Helensburgh & Lomond,-,12,37,125,1,25,173,635,Helensburgh East
S01010650,Inverness Kinmylies and South West,Highland,1134,799,1220,1476,925,1501,3646,669,809,2271,1,2,4,18,Inverness,Inverness West,27,103,312,1,63,295,1224,Inverness West
S01010635,Inverness Ballifeary and Dalneigh,Highland,769,456,1225,1347,1425,1286,880,3091,812,1545,1,2,4,18,Inverness,Inverness Dalneigh Central,28,103,312,1,63,169,787,Inverness Dalneigh Central
S01007395,Helensburgh Centre,Argyll and Bute,722,491,1346,1402,1369,1243,1830,6916,152,1139,1,2,4,20,Helensburgh & Lomond,-,13,37,125,1,25,79,715,Helensburgh Centre
S01010747,Seaboard,Highland,825,494,1369,1718,1498,2919,751,666,2394,4130,1,2,4,20,East Ross,Milton & Kildary,29,30,312,1,63,171,821,Milton & Kildary
S01010589,Inverness Westhill,Highland,565,417,1387,1533,1422,1834,1518,1056,2731,1592,1,2,4,20,Inverness,Inverness Inshes Wood,30,103,312,1,63,90,557,Inverness Inshes Wood
S01010619,"Inverness Central, Raigmore and Longman",Highland,619,462,1400,1520,1820,2535,937,4652,84,439,2,3,5,21,Inverness,Inverness Central & Longman,31,103,312,1,63,124,614,Inverness Central & Longman
S01010774,Caithness South,Highland,683,373,1416,1706,927,2653,1677,980,4492,4492,2,3,5,21,Caithness,Lybster,32,38,312,1,63,140,677,Lybster
S01010806,Thurso West,Highland,863,557,1422,1336,1049,1601,2493,3477,1504,3194,2,3,5,21,Caithness,Thurso High and Low Ormlie,33,38,312,1,63,175,857,Thurso High and Low Ormlie
S01007367,Dunoon,Argyll and Bute,555,304,1431,1072,1007,1978,2659,6784,1041,2385,2,3,5,21,Bute & Cowal,-,14,32,125,1,25,91,513,Dunoon
S01010803,Thurso West,Highland,562,319,1439,1477.5,1336,1731,1182,5836,658,3587.5,2,3,5,21,Caithness,Thruso North West,34,38,312,1,63,122,562,Thruso North West
S01010577,Inverness Smithton,Highland,894,556,1476,1512,1961,1554,1133,2949,920,1638,2,3,5,22,Inverness,Smithton South,35,103,312,1,63,242,888,Smithton South
S01010745,Invergordon,Highland,545,316,1540,2098,884,2834,1762,6219,220,2482,2,3,5,23,East Ross,Invergordon Central,36,30,312,1,63,87,574,Invergordon Central
S01010782,Wick North,Highland,602,349,1555,1539,1952,1654,1499,6588,94,2096,2,3,5,23,Caithness,Wick Central North,37,38,312,1,63,109,611,Wick Central North
S01007296,Oban South,Argyll and Bute,544,390,1585,2625.5,1373.5,1703,1198,6581,160,493,2,3,5,23,"Oban, Lorn & the Isles",-,15,27,125,1,25,57,535,Oban South
S01010753,Tain,Highland,1086,656,1604,1743,1081,2178,2161,2818,1853,4634,2,3,5,23,East Ross,Tain South Rural,38,30,312,1,63,262,1071,Tain South Rural
S01010609,Inverness Drummond,Highland,559,344,1612,1632,2057,2035,1038,2390,1299,2489,2,3,5,24,Inverness,Inverness Hilton South West,39,103,312,1,63,138,561,Inverness Hilton South West
S01007370,Dunoon,Argyll and Bute,657,430,1634,1741,958,2304,2977,6826,435,1728,2,3,5,24,Bute & Cowal,-,16,32,125,1,25,102,662,Dunoon
